lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.6,166.7,-46.2,-46.1,0.0,40.0,5.0,10.5,1.7819990751424800e-04,0.000000,1
166.6,166.7,-46.1,-46.0,0.0,40.0,5.0,10.5,1.9119990076725153e-04,0.000000,1
166.6,166.7,-46.0,-45.9,0.0,40.0,5.0,10.5,2.1919988623525903e-04,0.000000,1
166.6,166.7,-45.9,-45.8,0.0,40.0,5.0,10.5,3.2039983371248628e-04,0.000000,1
166.6,166.7,-45.8,-45.7,0.0,40.0,5.0,10.5,4.9109974511923231e-04,0.000000,1
166.6,166.7,-45.7,-45.6,0.0,40.0,5.0,10.5,5.3729972114144472e-04,0.000000,1
166.6,166.7,-45.6,-45.5,0.0,40.0,5.0,10.5,5.0769973650383678e-04,0.000000,1
166.6,166.7,-45.5,-45.4,0.0,40.0,5.0,10.5,6.6949965252968030e-04,0.000000,1
166.6,166.7,-45.4,-45.3,0.0,40.0,5.0,10.5,9.8759948743586600e-04,0.000000,1
166.6,166.7,-45.3,-45.2,0.0,40.0,5.0,10.5,1.2949993278953487e-03,0.000000,1
166.6,166.7,-45.2,-45.1,0.0,40.0,5.0,10.5,1.0909994337712939e-03,0.000000,1
166.6,166.7,-45.1,-45.0,0.0,40.0,5.0,10.5,6.8939964220158568e-04,0.000000,1
166.6,166.7,-45.0,-44.9,0.0,40.0,5.0,10.5,4.3929977200341831e-04,0.000000,1
166.6,166.7,-44.9,-44.8,0.0,40.0,5.0,10.5,3.1609983594418515e-04,0.000000,1
166.6,166.7,-44.8,-44.7,0.0,40.0,5.0,10.5,2.3619987741226362e-04,0.000000,1
166.7,166.8,-47.3,-47.2,0.0,40.0,5.0,10.5,5.1269973390883813e-05,0.000000,1
166.7,166.8,-47.2,-47.1,0.0,40.0,5.0,10.5,5.3279972347694348e-05,0.000000,1
166.7,166.8,-47.1,-47.0,0.0,40.0,5.0,10.5,5.5879970998295052e-05,0.000000,1
166.7,166.8,-47.0,-46.9,0.0,40.0,5.0,10.5,5.9649969041666074e-05,0.000000,1
166.7,166.8,-46.9,-46.8,0.0,40.0,5.0,10.5,6.5469966021087633e-05,0.000000,1
166.7,166.8,-46.8,-46.7,0.0,40.0,5.0,10.5,7.3839961677059894e-05,0.000000,1
166.7,166.8,-46.7,-46.6,0.0,40.0,5.0,10.5,8.8199954224223767e-05,0.000000,1
166.7,166.8,-46.6,-46.5,0.0,40.0,5.0,10.5,1.1059994259862979e-04,0.000000,1
166.7,166.8,-46.5,-46.4,0.0,40.0,5.0,10.5,1.2359993585163331e-04,0.000000,1
166.7,166.8,-46.4,-46.3,0.0,40.0,5.0,10.5,1.2719993398323427e-04,0.000000,1
166.7,166.8,-46.3,-46.2,0.0,40.0,5.0,10.5,1.4279992588683846e-04,0.000000,1
166.7,166.8,-46.2,-46.1,0.0,40.0,5.0,10.5,1.7279991031684654e-04,0.000000,1
166.7,166.8,-46.1,-46.0,0.0,40.0,5.0,10.5,1.7559990886364732e-04,0.000000,1
166.7,166.8,-46.0,-45.9,0.0,40.0,5.0,10.5,1.9559989848365268e-04,0.000000,1
166.7,166.8,-45.9,-45.8,0.0,40.0,5.0,10.5,2.4989987030196731e-04,0.000000,1
166.7,166.8,-45.8,-45.7,0.0,40.0,5.0,10.5,3.5139981762349464e-04,0.000000,1
166.7,166.8,-45.7,-45.6,0.0,40.0,5.0,10.5,4.4959976665772110e-04,0.000000,1
166.7,166.8,-45.6,-45.5,0.0,40.0,5.0,10.5,5.2329972840744099e-04,0.000000,1
166.7,166.8,-45.5,-45.4,0.0,40.0,5.0,10.5,7.2579962330999548e-04,0.000000,1
166.7,166.8,-45.4,-45.3,0.0,40.0,5.0,10.5,1.2159993688963277e-03,0.000000,1
166.7,166.8,-45.3,-45.2,0.0,40.0,5.0,10.5,1.6449991462454431e-03,0.000000,1
166.7,166.8,-45.2,-45.1,0.0,40.0,5.0,10.5,1.5039992194244051e-03,0.000000,1
166.7,166.8,-45.1,-45.0,0.0,40.0,5.0,10.5,8.9499953549524109e-04,0.000000,1
166.7,166.8,-45.0,-44.9,0.0,40.0,5.0,10.5,5.4809971553624768e-04,0.000000,1
166.7,166.8,-44.9,-44.8,0.0,40.0,5.0,10.5,3.6019981305629705e-04,0.000000,1
166.7,166.8,-44.8,-44.7,0.0,40.0,5.0,10.5,2.5939986537146990e-04,0.000000,1
166.7,166.8,-44.7,-44.6,0.0,40.0,5.0,10.5,1.9189990040395169e-04,0.000000,1
166.8,166.9,-47.4,-47.3,0.0,40.0,5.0,10.5,4.1799978305811257e-05,0.000000,1
166.8,166.9,-47.3,-47.2,0.0,40.0,5.0,10.5,4.4469976920081984e-05,0.000000,1
166.8,166.9,-47.2,-47.1,0.0,40.0,5.0,10.5,4.6519975856132534e-05,0.000000,1
166.8,166.9,-47.1,-47.0,0.0,40.0,5.0,10.5,4.9329974397743286e-05,0.000000,1
166.8,166.9,-47.0,-46.9,0.0,40.0,5.0,10.5,5.2969972508584277e-05,0.000000,1
166.8,166.9,-46.9,-46.8,0.0,40.0,5.0,10.5,5.7949969923965610e-05,0.000000,1
