lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.9,167.0,-44.6,-44.5,0.0,40.0,5.0,10.5,3.1889943427240361e-04,0.000000,1
167.0,167.1,-47.6,-47.5,0.0,40.0,5.0,10.5,2.7579951073166794e-05,0.000000,1
167.0,167.1,-47.5,-47.4,0.0,40.0,5.0,10.5,2.9419947809012584e-05,0.000000,1
167.0,167.1,-47.4,-47.3,0.0,40.0,5.0,10.5,3.1339944402938623e-05,0.000000,1
167.0,167.1,-47.3,-47.2,0.0,40.0,5.0,10.5,3.3249941014604637e-05,0.000000,1
167.0,167.1,-47.2,-47.1,0.0,40.0,5.0,10.5,3.5369937253731311e-05,0.000000,1
167.0,167.1,-47.1,-47.0,0.0,40.0,5.0,10.5,3.7899932765519267e-05,0.000000,1
167.0,167.1,-47.0,-46.9,0.0,40.0,5.0,10.5,4.1239926840369782e-05,0.000000,1
167.0,167.1,-46.9,-46.8,0.0,40.0,5.0,10.5,4.5419919425062940e-05,0.000000,1
167.0,167.1,-46.8,-46.7,0.0,40.0,5.0,10.5,5.0439910519598733e-05,0.000000,1
167.0,167.1,-46.7,-46.6,0.0,40.0,5.0,10.5,6.9149877328117610e-05,0.000000,1
167.0,167.1,-46.6,-46.5,0.0,40.0,5.0,10.5,7.7279862905523203e-05,0.000000,1
167.0,167.1,-46.5,-46.4,0.0,40.0,5.0,10.5,8.5169848908688039e-05,0.000000,1
167.0,167.1,-46.4,-46.3,0.0,40.0,5.0,10.5,9.3509834113554284e-05,0.000000,1
167.0,167.1,-46.3,-46.2,0.0,40.0,5.0,10.5,1.0449981461732886e-04,0.000000,1
167.0,167.1,-46.2,-46.1,0.0,40.0,5.0,10.5,1.1509979581296222e-04,0.000000,1
167.0,167.1,-46.1,-46.0,0.0,40.0,5.0,10.5,1.2639977576679780e-04,0.000000,1
167.0,167.1,-46.0,-45.9,0.0,40.0,5.0,10.5,1.4619974064166008e-04,0.000000,1
167.0,167.1,-45.9,-45.8,0.0,40.0,5.0,10.5,1.7609968759915416e-04,0.000000,1
167.0,167.1,-45.8,-45.7,0.0,40.0,5.0,10.5,2.1189962409006686e-04,0.000000,1
167.0,167.1,-45.7,-45.6,0.0,40.0,5.0,10.5,2.5149955383979149e-04,0.000000,1
167.0,167.1,-45.6,-45.5,0.0,40.0,5.0,10.5,2.9319947986412273e-04,0.000000,1
167.0,167.1,-45.5,-45.4,0.0,40.0,5.0,10.5,3.4839938193949641e-04,0.000000,1
167.0,167.1,-45.4,-45.3,0.0,40.0,5.0,10.5,4.5509919265403220e-04,0.000000,1
